gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,conm,curcd,cik,costat,gind,gsector,gsubind,naics,sic,spcindcd,spcseccd,Mkt cap 31 Dec 2024
18899,12/31/24,2024,INDL,C,D,STD,TNDM,TANDEM DIABETES CARE INC,USD,1438133,A,351010,35,35101010,334510,3845,,,2.36568554
9538,12/31/24,2024,INDL,C,D,STD,SEB,SEABOARD CORP,USD,88121,A,302020,30,30202030,999977,9997,250,978,2.359199773
17184,12/31/24,2024,INDL,C,D,STD,SBCF,SEACOAST BANKING CORP/FL,USD,730708,A,401010,40,40101015,522110,6020,817,800,2.35219073
38936,12/31/24,2024,INDL,C,D,STD,MCW,MISTER CAR WASH INC,USD,1853513,A,253020,25,25302020,811192,7500,,,2.3492025
38594,12/31/24,2024,INDL,C,D,STD,PRVA,PRIVIA HEALTH GROUP INC,USD,1759655,A,351020,35,35102015,621111,8011,,,2.34601955
16845,12/31/24,2024,INDL,C,D,STD,FRME,FIRST MERCHANTS CORP,USD,712534,A,401010,40,40101015,522110,6020,817,800,2.34038619
28806,9/30/24,2024,INDL,C,D,STD,ARWR,ARROWHEAD PHARMACEUTICAL INC,USD,879407,A,352010,35,35201010,325414,2836,185,940,2.3382688
220546,12/31/24,2024,INDL,C,D,STD,EQNR,EQUINOR ASA,USD,1140625,A,101020,10,10102010,324110,2911,380,935,2.32680811
19855,12/31/24,2024,INDL,C,D,STD,IVT,INVENTRUST PROPERTIES CORP,USD,1307748,A,601070,60,60107010,531120,6798,,,2.3239269
122172,12/31/24,2024,INDL,C,D,STD,ZD,ZIFF DAVIS INC,USD,1084048,A,502030,50,50203010,519290,7370,180,940,2.32254594
34309,12/31/24,2024,INDL,C,D,STD,STNE,STONECO LTD,USD,1745431,A,402010,40,40201060,522320,6099,,,2.31330047
183903,12/31/24,2024,INDL,C,D,STD,CALX,CALIX INC,USD,1406666,A,452010,45,45201020,334210,3661,,,2.31243892
61487,12/31/24,2024,INDL,C,D,STD,BANR,BANNER CORP,USD,946673,A,401010,40,40101015,522110,6020,817,800,2.30082743
